no,title,phone,mobile,manager,address,email,website,group,subgroup
4748,فروش لوازم يدكي موتور سيكلت,34260420,,محمدرضا پوريا,رفسنجان ابتداي بلوار هجرت سمت راست,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
4749,ارایش افق,34265224,,حسن محمدخالویی,خ شهید مطهری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4750,فروش لوازم يدكي موتور سيكلت,34225243,,اسدالله تاج خراساني,رفسنجان جاده كريم آباد محقق بلوار شهيد محمدي نبش كوچه شهيد آزاديان,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
4751,فروش موتور سيكلت,34251971,,محمود عبدالحسيني نسب,رفسنجان خيابان اميركبير شرقي نبش اميركبير 11,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
4752,ارایشگاه رضا,34320867,,رضا ابراهیمی نزاد,خ امیرکبیر غربی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4753,فروش موتور سيكلت,34228666,,رضا احمدي عيش آبادي,رفسنجان ميدان شهيد اميني بلوار شهيد محمدي ( كريم آباد محقق ) شهيد محمدي 29,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
4754,اریشگاه مهریزی,34323609,,علیرضا مهریزی,ارایشگاه مهریزی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4755,فتحی پیش,,,حسین فتحی پیش استا,خ امیرکبیر غربی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4756,فروش موتورسيكلت,34253701,,حسين پور غلامرضا زاده,رفسنجان خيابان انصاري روبروي كوچه نيك نفس,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
4757,ارایش محمد,34266468,,محمد هندیزی پور,خ معلم,,,آرایشگاه مردانه,آرایشی و بهداشتی
4758,چاهخویی,34390237,,مجید چاهخویی,کشکوئیه خ شریعتی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4759,عباسی,34390423,,محمد عباسی,کشکوئیه خ امام حسین,,,آرایشگاه مردانه,آرایشی و بهداشتی
4760,خراسانی,,,ریحان خراسانی عیش ابادی,حسن اباد نوق,,,آرایشگاه مردانه,آرایشی و بهداشتی
4761,اریشگاه سعید,34265686,,سعید رخگر,میدان معلم,,,آرایشگاه مردانه,آرایشی و بهداشتی
4762,ارایشگاه زینل پور,34323192,,حسن زینل پور جنت ابادی,خ حجت جنب تقاطع شهید اسماعیلی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4763,اریشگاه ابشاهی,34333244,,داوود ابشاهی یزدی,بلوار شهید نوری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4764,ارایش حمیدی,34324705,,ابوالفضل حمیدی,خ شهید مطهری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4765,پورجعفری,,,علیرضا پور جعفری,فردوسیه نوق خ سی متری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4766,یداللهی,34190248,,علی یداللهی,خنامان خ اصلی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4767,ارایشگاه نخل,,,مهدی ترک,بلوار طالقانی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4768,اریشگاه محمود,34230340,,محمود رضایی ابولی جلال ابادی,میدان شهید امینی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4769,پورمحمدی,34190087,,عباس پور محمدی خنامانی برزگر,خنامان خ ولیعصر,,,آرایشگاه مردانه,آرایشی و بهداشتی
4770,اریشگاه سروی,,,محمدحسن سروی,بلوار طالقانی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4771,ارایشگاه طالبی,34286265,,علی طالبی رضا ابادی,خ شهید بهشتی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4772,سالن ارایشی گلها,34312369,,حسین معصومی ریسه,سرچشمه بلوارایثارگران بازارچه مریم,,,آرایشگاه مردانه,آرایشی و بهداشتی
4773,ارایشگاه لاله,34312401,,شاهین مکشامی,سرچشمه مریم10 پ3,,,آرایشگاه مردانه,آرایشی و بهداشتی
4774,اریشگاه جواد,34280762,,جواد احمدی پور,بلوار شهید مفتح,,,آرایشگاه مردانه,آرایشی و بهداشتی
4775,آرايش سينا,34329117,,حسن بافتي دولت آبادي,رفسنجان خيابان اميركبير غربي بعد از تقاطع شهيد نوري جنب نمايندگي سايپا محمدي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4776,حسین زاده,34190040,,محمود حسین زاده,نوق روا مهران جاده اصلی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4777,آرايش چهره نما,34226279,,امير كرم بلوچي,رفسنجان خيابان 15 خر داد جنب مدرسه حكمت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4778,لایقه توکلی ( آرایشگاه فری ),34258375,,لایقه توکلی,خیابان معلم سه راه 17 شهريور,,,آرایشگاه زنانه,آرایشی و بهداشتی
4779,سلمانی,,,علی سلمانی,روستای عباس اباد اقاغفور,,,آرایشگاه مردانه,آرایشی و بهداشتی
4780,ربابه صفری نسب علي آباد ( گیتی ),34252551,,ربابه صفری نسب علي آباد,خیابان کارگر شمالی کوچه 52 پلاک 1,,,آرایشگاه زنانه,آرایشی و بهداشتی
4781,پوراکبری,34265334,,حسن پوراکبری علیایی,خ امیرکبیر غربی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4782,طیبه جلالی ( سهیل ),34222226,,طیبه جلالی,خیابان مصطفی خمينی کوي شماره 24,,,آرایشگاه زنانه,آرایشی و بهداشتی
4783,نیلی,34257430,,محمد نیلی,خ امام,,,آرایشگاه مردانه,آرایشی و بهداشتی
4784,ایرانپور,,,محسن ایرانپور,سرچشمه کوی شقایق,,,آرایشگاه مردانه,آرایشی و بهداشتی
4785,بتول حلیمی ( ماه شب ),34324195,,بتول حلیمی,خیابان مطهری جنب مدرسه هفتم تير,,,آرایشگاه زنانه,آرایشی و بهداشتی
4786,ارايش وحيد,34225395,,وحيد حدادرنجبر,خ معلم,,,آرایشگاه مردانه,آرایشی و بهداشتی
4787,آرايشگاه مردانه,34372615,,مجيد حسيني باقري,رفسنجان قاسم آباد حاجي مهدي آباد بلوار امام حسين ( ع ),,,آرایشگاه مردانه,آرایشی و بهداشتی
4788,اريشگاه ارين,34254745,,حسين پورمحمديان قاسم ابادي,بلوار هجرت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4789,بتول پورجعفری ( نغمه ),34250281,,بتول پورجعفری,خیابان 17 شهریور شرقی كوي نغمه,,,آرایشگاه زنانه,آرایشی و بهداشتی
4790,رمضانی,34263121,,حسن رمضانی دهنویی,خ شریعتی شرقی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4791,آرايشگاه مردانه,34390206,,مهدي صادقيان,رفسنجان كشكوئيه روستاي تقي آباد,,,آرایشگاه مردانه,آرایشی و بهداشتی
4792,عباس پور,34222743,,حسین عباس پور,خ مدرس شمالی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4793,طیبه پورمحمدی ( رضوان ),34322407,,طیبه پورمحمدی,خیابان امیرکبیر غربی کوچه 42,,,آرایشگاه زنانه,آرایشی و بهداشتی
4794,آرايشگاه چهره,34291153,,رضا هنرمند,رفسنجان روستاي اسلام آباد,,,آرایشگاه مردانه,آرایشی و بهداشتی
4795,خراسانی,34259021,,احمد خراسانی,خ سعئی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4796,طیبه زینلی ( سمیه ),34264424,,طیبه زینلی,خیابان 17 شهریور کوچه شماره 16,,,آرایشگاه زنانه,آرایشی و بهداشتی
4797,اریشگاه مجید,34257179,,مجید اله یاری,خ 17 شهریور,,,آرایشگاه مردانه,آرایشی و بهداشتی
4798,آرايش سهيل,34254203,,ابراهيم رخگر,رفسنجان خيابان اميركبير شرقي جنب كوچه 24,,,آرایشگاه مردانه,آرایشی و بهداشتی
4799,÷یرایش ابراهیم,34259408,,محمد رباطی زاده,سیدجمال الدین,,,آرایشگاه مردانه,آرایشی و بهداشتی
4800,فاطمه بخشی زاده ( آیدا ),34325296,,فاطمه بخشی زاده,خیابان آیت اله صدر,,,آرایشگاه زنانه,آرایشی و بهداشتی
4801,حسنی,34226040,,علی حسنی,شهید میرافضلی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4802,آرايش نارسيس,34259864,,حسن پورغلامرضايي,رفسنجان خيابان كارگر جنوبي جنب ميدان شهيد زينلي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4803,باقري,34332037,,حسين باقري راد,خ حجت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4804,نرجس مستوفی پور ( پرديس ),34257147,,نرجس مستوفی پور,بلوار طالقاانی جنب كوچه کتابفروشی شمس,,,آرایشگاه زنانه,آرایشی و بهداشتی
4805,محی الدینی,34329855,,امیر محی الدینی,خ امیر کبیر غربی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4806,آرايش پرديس,34332885,,جلال سياهكوهي,رفسنجان خيابان اميركبير غربي بعد از مخابرات,,,آرایشگاه مردانه,آرایشی و بهداشتی
4807,ارایش بعثت,34320550,,غلامرضا کریمی رحمت ابادی,خ شهیدنوری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4808,اصغری,34328860,,علی اصغری,خ مطهری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4809,زهرا جانقربان ( چهره ),34250500,,زهرا جانقربان,خیابان کارگر کوچه 23 پلاک 22,,,آرایشگاه زنانه,آرایشی و بهداشتی
4810,نجاتي,34250255,,سيدحسن نجاتي,خ - سيدجمال الدين اسدابادي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4811,سمیه محمد رضائی حسین آبادی ( درنا ),34225610,,سميه رضائی حسین آبادی,خیابان معراج کوچه 25,,,آرایشگاه زنانه,آرایشی و بهداشتی
4812,آرايشگاه مردانه,34265720,,وحيد حداد رنجبر,رفسنجان خيابان معلم روبروي درمانگاه فرهنگيان,,,آرایشگاه مردانه,آرایشی و بهداشتی
4813,ارایش پرستو,34333938,,علی نصر,بلوار شهید نوری,,,آرایشگاه مردانه,آرایشی و بهداشتی
4814,منیژه دانشور ( ليدي ),34328518,,منیژه دانشور,خیابان مطهری خيابان ستارخان کوی 4 پلاک 15,,,آرایشگاه زنانه,آرایشی و بهداشتی
4815,پيرايش عارف,34264310,,مهدي عليزاده رنجبر دولت آبادي,رفسنجان بلوار طالقاني ابتداي اميركبير غربي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4816,بتول نوروزی شاهرخ آبادی ( رژان ),34282174,,بتول نوروزی شاهرخ آبادی,بلوار امام علی بن ابیطالب اول جاده صادق آباد,,,آرایشگاه زنانه,آرایشی و بهداشتی
4817,آرايشگاه رحيم,34264091,,عظيم زارع,رفسنجان خيابان اميركبيرغربي جنب كوچه شماره 30,,,آرایشگاه مردانه,آرایشی و بهداشتی
4818,زهرا بازمانده نسب ( گلها ),34252286,,زهرا بازمانده نسب,خیابان پاسداران خيابان جانبازان كوچه 51 پلاك 25,,,آرایشگاه زنانه,آرایشی و بهداشتی
4819,فتاحي بافقي,,,حسن فتاحي بافقي,فردوس-فردسيه خ-امام روبروي مركز جهاد كشاورزي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4820,آرايشگاه مردانه,34360471,,محمد علي محمدي نسب,رفسنجان يوسف آباد مجاور جاده نوق,,,آرایشگاه مردانه,آرایشی و بهداشتی
4821,اکرم رمضانی پور,34322596,,اکرم رمضانی پور,بلوار شهید نوری خیابان مولانا جنوبی کوچه شماره 22 پلاک 13,,,آرایشگاه زنانه,آرایشی و بهداشتی
4822,مسعود پاينده,34258131,,مسعود پاينده,رفسنجان ابتداي خيابان امام جنب خواربارفروشي سيداحمد حسيني,,,آرایشگاه مردانه,آرایشی و بهداشتی
4823,فاطمه رمضانی نژاد ( شب نما ),34223178,,فاطمه رمضانی نژاد,خیابان مصطفی خمینی خیابان شهید باقری,,,آرایشگاه زنانه,آرایشی و بهداشتی
4824,زهرا سوختانلو ( لا نافرم ),34226861,,زهرا سوختانلو,خیابان معراج نبش میدان شهید کاظمی,,,آرایشگاه زنانه,آرایشی و بهداشتی
4825,آرايشگاه حسين زاده,34228959,,حميد حسين زاده,رفسنجان خيابان شهيد سيدمصطفي خميني روبروي خيابان شهيد حسيني,,,آرایشگاه مردانه,آرایشی و بهداشتی
4826,آرايشگاه مردانه,34227261,,حسيين بارچي,رفسنجان خيابان مصطفي خميني نبش شهيد پژو,,,آرایشگاه مردانه,آرایشی و بهداشتی
4827,پيرايشگري مردانه,34257585,,ابوالقاسم محمد حسيني,رفسنجان خيابان پاسداران,,,آرایشگاه مردانه,آرایشی و بهداشتی
4828,اعظم محمدی مؤمن آباد ( گل گيس ),34224549,,اعظم محمدی مؤمن آباد,خیابان معراج - معراج 26,,,آرایشگاه زنانه,آرایشی و بهداشتی
4829,آرايشگاه مهدي,34259132,,رضا رمضاني دهنويي,رفسنجان خيابان شهدا جنب شيريني فروشي لشكري,,,آرایشگاه مردانه,آرایشی و بهداشتی
4830,بتول شریفی ( كيميا ),34228723,,بتول شریفی,خیابان معراج كوچه 16,,,آرایشگاه زنانه,آرایشی و بهداشتی
4831,معصومه سلیمانی باقری بیاض ( بهاره ),34329652,,معصومه سلیمانی باقری بیاض,بلوار جمهوری کوی 7 جنب مسجد مهدیه,,,آرایشگاه زنانه,آرایشی و بهداشتی
4832,مجيد ميرزا غفاري شهر آبادي,34258606,,مجيد ميرزا غفاري شهر آبادي,رفسنجان خيابان شريعتي شرقي جنب حسينيه علي اصغر,,,آرایشگاه مردانه,آرایشی و بهداشتی
4833,طیبه مولایی فرد,,,طیبه مولایی فرد,اسماعیل آباد نوق خیابان سی متری,,,آرایشگاه زنانه,آرایشی و بهداشتی
4834,پيرايشگري مردانه,34160630,,مجيد عباس زاده فتح آبادي,رفسنجان حسبن آباد نوق مجاور جاده اصلي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4835,عصمت بلوچ دهنو ئي ( شبنم ),34267683,,عصمت بلوچ دهنو ئي,خيابان امام رو به روي پاساژ حسيني,,,آرایشگاه زنانه,آرایشی و بهداشتی
4836,غلامرضا عليزاده,34327382,,غلامرضا عليزاده,رفسنجان خيابان حجت كوي 13,,,آرایشگاه مردانه,آرایشی و بهداشتی
4837,مونس اوحدي ( ونك ),34265484,,مونس اوحدي,خيابان آذر كوچه شماره 10 پلاك 12,,,آرایشگاه زنانه,آرایشی و بهداشتی
4838,آرايش تاج,34257279,,محمد حدادي مهدي آبادي,رفسنجان خيابان معلم جنوبي جنب كوچه 3,,,آرایشگاه مردانه,آرایشی و بهداشتی
4839,آرايش دوستان,34256667,,احمد بژكول,رفسنجان خيابان شهيد ارجمندي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4840,الهام يزداني ( ستاره هنر ),34258220,,الهام يزداني,خيابان ابوذر حد فاصل ابوذر 41 - 39,,,آرایشگاه زنانه,آرایشی و بهداشتی
4841,آرايشگاه مهتاب,34332073,,محمدحسين باقري,رفسنجان قاسم آباد حاجي خيابان امام حسين ( ع ),,,آرایشگاه مردانه,آرایشی و بهداشتی
4842,صديقه زمان آبادي,34266924,,صديقه زمان آبادي,ماهونك كوچه بهداشت بعد از چهار كوچه اول سمت چپ,,,آرایشگاه زنانه,آرایشی و بهداشتی
4843,محمد علي رياحي پور,34327326,,محمدعلي رياحي پور,رفسنجان خيابان حجت كوي دانشجو,,,آرایشگاه مردانه,آرایشی و بهداشتی
4844,مريم خانداني,34259887,,مريم خانداني,خيابان جانبازان كوي 43,,,آرایشگاه زنانه,آرایشی و بهداشتی
4845,پيرايشگري مردانه,34161167,,محمود رضايي,رفسنجان بهرمان بلوار آيت اله خامنه اي,,,آرایشگاه مردانه,آرایشی و بهداشتی
4846,فاطمه يوسفي احمدي پور ( عسل ),34225975,,فاطمه يوسفي احمدي پور,خيابان شهيد خالوئي كوچه معلم,,,آرایشگاه زنانه,آرایشی و بهداشتی
4847,آرايشگاه جوان,34190613,,مرتضي اراك,رفسنجان كبوترخان بلوار امام سجاد,,,آرایشگاه مردانه,آرایشی و بهداشتی
4848,فهيمه پور غلامرضا ( عروس دريا ),34261591,,فهيمه پورغلامرضا,خيابان ابوذر كوي 46 جنب آتش نشاني,,,آرایشگاه زنانه,آرایشی و بهداشتی
4849,آر ايش بنيامين,34332430,,حسن باقري راد,رفسنجان خيابان حجت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4850,نرگس حاج محمدي,34333814,,نرگس حاج محمدي,خيابان اميركبير غربي كوچه شهداي هويزه,,,آرایشگاه زنانه,آرایشی و بهداشتی
4851,پيرايشگري گلها,34257943,,عليرضا رمضاني,رفسنجان بلوار خيابان 17 شهريور جنب كوچه شماره 6,,,آرایشگاه مردانه,آرایشی و بهداشتی
4852,زهرا درويشي رنجبر,34374238,,زهرا درويشي رنجبر,عباس آباد حاجي كوي امام حسين 8,,,آرایشگاه زنانه,آرایشی و بهداشتی
4853,محمد علی سروی,34225980,,محمد علی سروی,رفسنجان خیابان مصطفی خمینی جنب صندوق تعاون اسلامی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4854,معصومه رضا پور سرداري,34375611,,معصومه رضا پور سرداري,همت آباد اولياء كوي سي متري شهرك ميثم,,,آرایشگاه زنانه,آرایشی و بهداشتی
4855,محسن بشکوه,34332836,,محسن بشکوه,رفسنجان خیابان شهید کهنوجی کوچه شرکت گاز,,,آرایشگاه مردانه,آرایشی و بهداشتی
4856,بتول رضوي مقدم ( ستاره شب ),34212351,,بتول رضوي مقدم,هرمز آباد دهن آباد كوچه مدرسه راهنمائي,,,آرایشگاه زنانه,آرایشی و بهداشتی
4857,الهام سيد ميرزايي ( نيك سيما ),34265206,,الهام سيد ميرزايي,خيابان آذر كوچه 4 پلاك 5,,,آرایشگاه زنانه,آرایشی و بهداشتی
4858,آرایش حمید,34286396,,حمید رنجبر,رفسنجان بلوار طالقانی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4859,سكينه رمضاني نژاد,34330224,,سكينه رمضاني نژاد,خيابان بسيج كوچه 9 پلاك 18,,,آرایشگاه زنانه,آرایشی و بهداشتی
4860,غلامرضا رمضانی,34259652,,غلامرضا رمضانی دهنوی,رفسنجان خیابان شهید چمران روبروی منطقه انتظامی,,,آرایشگاه مردانه,آرایشی و بهداشتی
4861,صديقه جمالي محمدي ( ماهرخ ),34257644,,صديقه جمالي محمدي,خيابان پاسداران كوي دستغيب جنوبي كوچه 3,,,آرایشگاه زنانه,آرایشی و بهداشتی
4862,علی حسنی,,,اصغر علی حسنی,رفسنجان قاسم آباد حاجی بلوار امام حسن کوچه امامزاده ابراهیم,,,آرایشگاه مردانه,آرایشی و بهداشتی
4863,آرايش قائم,34255247,,رضا رفسنجاني,رفسنجان بلوار هجرت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4864,اكرم كرامتي دولت آباد ( شقايق ),34223958,,اكرم كرامتي دولت آباد,خيابان معراج كوچه 28,,,آرایشگاه زنانه,آرایشی و بهداشتی
4865,حسن فرحبخش,34225661,,حسن فرحبخش,رفسنجان خیابان شهید محمدی بعد از رستوران حافظ,,,آرایشگاه مردانه,آرایشی و بهداشتی
4866,مريم رمضاني عليايي ( پاراديس ),34264997,,مريم رمضاني عليايي,خيابان 15 خرداد جنوبي كوچه 26,,,آرایشگاه زنانه,آرایشی و بهداشتی
4867,آرايشگاه مردانه,34391807,,اكبر ميرزائي رحمت آباد,رفسنجان كشكوئيه خيابان امام حسين روبروي پاساژ ولي عصر,,,آرایشگاه مردانه,آرایشی و بهداشتی
4868,فرحناز اميريان ( آريا رخ ),34281273,,فرحناز اميريان,خيابان شهيد بهشتي كوي شماره 4,,,آرایشگاه زنانه,آرایشی و بهداشتی
4869,آرايشگاه طالبي,34261863,,محمدرضا طالبي رضا آباد,رفسنجان خيابان شهيد بهشتي جنب مسجد جامع,,,آرایشگاه مردانه,آرایشی و بهداشتی
4870,آرايشگاه بهشت,34261439,,محمدرضا حسيني عصار,رفسنجان خيابان اميركبير غربي روبروي درمانگاه امام ( ره ),,,آرایشگاه مردانه,آرایشی و بهداشتی
4871,سجد يه پور غلامعلي ( سارگل ),34251723,,سجد يه پور غلامعلي,كمال آباد خيابان 15 خرداد جنو بي روبروي مسجد شهيد بهشتي پلاك 180,,,آرایشگاه زنانه,آرایشی و بهداشتی
4872,ارايشگاه مردانه,34322609,,مجيد فاتحي,رفسنجان بلوار شهيد نوري خيابان شهيد رمضاني,,,آرایشگاه مردانه,آرایشی و بهداشتی
4873,محبو به برزگر فارسي,34222992,,محبو به برزگر فارسي,خيابان شريعتي شرقي خيابان بستان كوچه 13 پلاك 6,,,آرایشگاه زنانه,آرایشی و بهداشتی
4874,آرايشگاه مردانه,34390477,,محمد باقرزاده حسن آباد,رفسنجان كشكوئيه روستاي احمدآباد دئفه,,,آرایشگاه مردانه,آرایشی و بهداشتی
4875,ثريا عابد زاده ( نگين ),34266247,,ثر يا عابد زاده,خيابان شهدا,,,آرایشگاه زنانه,آرایشی و بهداشتی
4876,مونس بخشي زاده علي آبادي ( آيلا ),34220959,,مونس بخشي زاده علي آبادي,خيابان كارگر شمالي كوچه 47 پلاك 32,,,آرایشگاه زنانه,آرایشی و بهداشتی
4877,آرايش و پيرايش محمد,34266071,,محمد مرشدي نصرت آباد,رفسنجان خيابان كارگر شمالي روبه روي بانك تجارت,,,آرایشگاه مردانه,آرایشی و بهداشتی
4878,نيوشا,34260332,,فاطمه شريفي دره در,خ- غزالي كوچه 14,,,آرایشگاه زنانه,آرایشی و بهداشتی
4879,اقدس,34324454,,اقدس دفعه جعفري,خ- مطهري خ- شهيد قرني روبروي كوچه 27,,,آرایشگاه زنانه,آرایشی و بهداشتی
4880,آرايشگاه مردانه,34333017,,هادي اسماعيلي شكيب,رفسنجان خيابان اميركبير غربي جنب چهارراه شهيد ملاحسيني,,,آرایشگاه مردانه,آرایشی و بهداشتی
4881,صفري,34320172,,طيبه صفري زاده,بلوار حجت خ- شهيد غباثي,,,آرایشگاه زنانه,آرایشی و بهداشتی
4882,آرايشگاه ستاره شب,34323704,,حسين غلام نژاد,رفسنجان خيابان اميركبير غربي جنب تقاطع شهيد نوري,,,آرایشگاه مردانه,آرایشی و بهداشتی
4883,زهرا كبيري,34220336,,زهرا كبيري,خ- مصطفي خميني كوچه 44 پلاك 19,,,آرایشگاه زنانه,آرایشی و بهداشتی
4884,آرايشگاه مردانه,34360174,,حسين معصومي رحمت آبادي,رفسنجان فردوسيه آزادگان,,,آرایشگاه مردانه,آرایشی و بهداشتی
4885,مريم,34321606,,معصومه يوسفي,خ- اميركبير غربي كوچه 54,,,آرایشگاه زنانه,آرایشی و بهداشتی
4886,سوزان,34252944,,شايسته خالقي,خ-كارگر جنوبي كوچه 19 كوچه سبحان,,,آرایشگاه زنانه,آرایشی و بهداشتی
4887,ماهك,34259310,,زهره عبداللهي,خ- جانبازان نبش كوچه 47,,,آرایشگاه زنانه,آرایشی و بهداشتی
4888,عروس چشمه,34323045,,معصومه حاج رضابيگي,خ-اميركبير غربي چهارراه گلزار شهدا,,,آرایشگاه زنانه,آرایشی و بهداشتی
4889,آرايشگاه ريحانه,34191137,,سميرا نبي زاده,رفسنجان لاهيجان خيابان شهيد يارقلي 11,,,آرایشگاه زنانه,آرایشی و بهداشتی
4890,احمدپور,,,طیبه احمد پور,فردوسیه نوق خ امام,,,آرایشگاه زنانه,آرایشی و بهداشتی
4891,ايناز,34321321,,نرگس نوروزي,شهرك ولفجر 2 خ- مقداد كوچه 2,,,آرایشگاه زنانه,آرایشی و بهداشتی
4892,نصيري,34210952,,زهرا نصيري ماهونكي,هرمز اباد,,,آرایشگاه زنانه,آرایشی و بهداشتی
4893,منيژه عسگري حصن,34320874,,منيژه عسكري حصن,خ- شهيد رمضاني كوچه شماره 4 كوچه نبوت,,,آرایشگاه زنانه,آرایشی و بهداشتی
4894,آرايشگاه گلبرگ,34265635,,سيده بهناز اوحدي رفسنجاني,رفسنجان خيابان غزالي كوچه 5 اولين كوچه فرعي سمت چپ,,,آرایشگاه زنانه,آرایشی و بهداشتی
4895,روحانی,34286811,,رویا روحانی راوری,خ ابوذر بوستان مادر,,,آرایشگاه زنانه,آرایشی و بهداشتی
4896,مبين,34320462,,منصوره بدپسند,خ- اميركبير غربي جنب گلزار شهدا,,,آرایشگاه زنانه,آرایشی و بهداشتی
4897,آرايشگاه سوگند,34325407,,مهديه نبي زاده رفسنجاني,رفسنجان خيابان آيت الله صدر خيابان خواجه نصيرالدين طوسي كوچه 10,,,آرایشگاه زنانه,آرایشی و بهداشتی
4898,قاسمی,34225777,,ازاده قاسمی نزاد حسین ابادی,خ معراج جنوبی,,,آرایشگاه زنانه,آرایشی و بهداشتی
4899,مريم رمضاني پور,34362581,,مريم رمضاني پور,كشكوئيه روستاي علي اباد شهيد,,,آرایشگاه زنانه,آرایشی و بهداشتی
4900,پورمحمدی,34255997,,شیرین پور محمدی,بلوار طالقانی,,,آرایشگاه زنانه,آرایشی و بهداشتی
4901,فرزانه اسدالهي,34283537,,فرزانه اسدالهي پور رفسنجاني,بلوار امام رضا«ع»نرسيده به كوچه شماره 7 پلاك 121,,,آرایشگاه زنانه,آرایشی و بهداشتی
4902,آرايشگاه نغمه,34250281,,بهار ميزاني,رفسنجان خيابان 17 شهر يور شرقي كوچه آزادي كوچه نغمه پلاك 54,,,آرایشگاه زنانه,آرایشی و بهداشتی
4903,جلالي,34322544,,طيبه جلالي خليل ابادي,خ اميركبير غربي,,,آرایشگاه زنانه,آرایشی و بهداشتی
4904,خورشيد شب,34322779,,فاطمه خواجه علي,خ- شهيد مطهري 43 پلاك 89,,,آرایشگاه زنانه,آرایشی و بهداشتی
4905,آرايشگاه ساغر,34232119,,فاطمه عابديني الله آباد,رفسنجان خيابان مصطفي خميني كوچه 66,,,آرایشگاه زنانه,آرایشی و بهداشتی
4906,محمدرضايي,34221829,,زهرا محمد رضايي نداف,خ 15 خرداد,,,آرایشگاه زنانه,آرایشی و بهداشتی
4907,فاطمه اقائي,34230241,,فاطمه اقائي افشار,خ- عدالت خ- بنفشه كوچه 17 جنب سوپر ماركت,,,آرایشگاه زنانه,آرایشی و بهداشتی
4908,آرايشگاه ويكتو ريا,34287984,,فاطمه فلاحتي خنامان,رفسنجان بلوار صاحب الزمان كوچه ياسمن,,,آرایشگاه زنانه,آرایشی و بهداشتی
4909,آرایشگاه آی سونا,34268401,,زهرا بهرام آبادی نژاد,خیابان شهید نخعی کوچه 1,,,آرایشگاه زنانه,آرایشی و بهداشتی
4910,آرايشگاه ماسوري,34323663,,مهين خراساني پور گروئيه,رفسنجان خيابان حجت جنب كوچه 10 انتهاي كوچه,,,آرایشگاه زنانه,آرایشی و بهداشتی
4911,پورجعفري,34254396,,عصمت پورجعفري,خ 14 متري شهيد محمدي نژاد,,,آرایشگاه زنانه,آرایشی و بهداشتی
4912,سیدمحسن حسینی,34222849,,سیدمحسن حسینی,خیابان کارگرشمالی جنب نیروگاه,,,نانوایی و سایر فراوردهای آردی,محصولات غذایی
4913,ارايشگاه لعيا,34221222,,فاطمه ميرزاصادقي,خ-مصطفي خميني كوچه شماره 13,,,آرایشگاه زنانه,آرایشی و بهداشتی
4914,آرايشگاه سايه,34332448,,مهديه اميري سردري,رفسنجان بلوار جمهوري اسلامي نبش جمهوري اسلامي 12 پلاك 50,,,آرایشگاه زنانه,آرایشی و بهداشتی
4915,آرايشگاه عروس سارينا,34339210,,زهرا سياهكوهي,رفسنجان شهرك والفجر كوي ميثم,,,آرایشگاه زنانه,آرایشی و بهداشتی
4916,آرایشگاه مدرنا,34285612,,فرزانه پیله ور قلی زاده,خیابان شهیدخالویی کوچه 4,,,آرایشگاه زنانه,آرایشی و بهداشتی
